Name,Country,City,State/Province,Operator,Size (sq ft),Size (MW),Latitude,Longitude,Link,Operational Status,Savings_Per_MW,EJ_Demographic_Index,CO2_Avoided_MT,EJ_Energy_Burden_Pct,Electricity_Price_Used,Composite_Score,Classification,Score_SavingsPerMW,Score_Water,Score_OPEX,Score_Payback,Score_LoadGrowth,Payback_Years,OPEX_Impact_Pct,Estimated_Savings_USD,Missing_Inputs
DFW17,USA,Dallas,TX,Digital Realty,58000,6.9,32.97,-96.71,,Active,53.83,Good,136214,1.596,42.6,3818.7,3.3,0.0912,,,,,,,,,53.83,Good,45.4,62.5,40.0,68.08,66.67,1.596,4.0,939880.02,baseline_pue; load_growth_rate; energy_pct_opex
HOU2,USA,Houston,TX,TRG Datacenters,110000,24,29.93,-95.43,,Construction,59.51,Good,136214,0.459,42.6,13282.3,3.3,0.0912,,,,,,,,,59.51,Good,45.4,62.5,40.0,90.82,66.67,0.459,4.0,3269147.9,baseline_pue; load_growth_rate; energy_pct_opex
RCH-1,USA,Richmond,VA,Iron Mountain,364860,48,37.49,-77.24,,Construction,61.8,Good,145325,0.215,28.9,21049.5,2.9,0.0973,,,,,,,,,61.8,Good,48.44,62.5,40.0,95.7,66.67,0.215,4.0,6975616.03,baseline_pue; load_growth_rate; energy_pct_opex
SDC Manhattan,USA,New York,NY,Sabey Data Centers,222000,18,40.71,-74,,Active,79.68,Excellent,336653,0.248,36.3,7048.5,3.1,0.2254,,,,,,,,,79.68,Excellent,100,62.5,40.0,95.05,66.67,0.248,4.0,6059752.78,baseline_pue; load_growth_rate; energy_pct_opex
JFK12,USA,New York,NY,Digital Realty,38400,2.5,40.72,-74.01,,Active,72.01,Good,336653,1.782,36.3,979.0,3.1,0.2254,,,,,,,,,72.01,Good,100,62.5,40.0,64.35,66.67,1.782,4.0,841632.33,baseline_pue; load_growth_rate; energy_pct_opex
DEN-1,USA,Denver,CO,Iron Mountain,180000,12.3,39.7392,-104.9903,https://www.datacentermap.com/usa/colorado/denver/iron-mountain-den-1/specs/,Active,66.06,Good,198945,0.613,25.6,10315.4,2.6,0.1332,,,,,,,,,66.06,Good,66.31,62.5,40.0,87.74,66.67,0.613,4.0,2447021.73,baseline_pue; load_growth_rate; energy_pct_opex
SUPERNAP 8,USA,Las Vegas,NV,Switch,300000,50,36.06,-115.21,https://www.switch.com/inside-supernap-8-switchs-tier-iv-data-fortress/,Active,62.17,Good,148014,0.203,37.2,21780.9,2.7,0.0991,,,,,,,,,62.17,Good,49.34,62.5,40.0,95.95,66.67,0.203,4.0,7400688.9,baseline_pue; load_growth_rate; energy_pct_opex
SUPERNAP 9,USA,Las Vegas,NV,Switch,1200000,150,36.06,-115.22,https://www.datacenterknowledge.com/switches-routers/switch-gets-tier-iv-for-second-las-vegas-data-center,Active,62.85,Good,148014,0.068,37.2,65342.7,2.7,0.0991,,,,,,,,,62.85,Good,49.34,62.5,40.0,98.65,66.67,0.068,4.0,22202066.7,baseline_pue; load_growth_rate; energy_pct_opex
C Spire Starkville,USA,Starkville,MS,C Spire,23800,1.5,33.4504,-88.8184,https://www.datacentermap.com/usa/mississippi/starkville/c-spire-starkville/specs/,Active,42.99,Moderate,189237,5.284,39.5,787.2,5.3,0.1267,,,,,,,,,42.99,Moderate,63.08,62.5,40.0,0,66.67,5.284,4.0,283854.88,baseline_pue; load_growth_rate; energy_pct_opex
Col-3,USA,Columbus,OH,Cologix,160000,18,40.12,-83,https://www.datacentermap.com/usa/ohio/columbus/cclogix-col3/,Active,63.63,Good,172508,0.483,23.4,14087.2,3.3,0.1155,,,,,,,,,63.63,Good,57.5,62.5,40.0,90.34,66.67,0.483,4.0,3105152.82,baseline_pue; load_growth_rate; energy_pct_opex
BOS-1,USA,Boston,MA,Iron Mountain,21000,3.6,42.34,-71.64,https://www.datacentermap.com/usa/massachusetts/boston/iron-mountain-bos-1/specs/,Active,74.96,Good,349498,1.192,24.0,1112.9,3.2,0.234,,,,,,,,,74.96,Good,100,62.5,40.0,76.16,66.67,1.192,4.0,1258191.79,baseline_pue; load_growth_rate; energy_pct_opex
MSP-2,USA,Eagan,MN,DataBank,48860,5,44.84,-93.15,https://www.datacentermap.com/usa/minnesota/minneapolis/databank-se-minneapolis/specs/,Active,61.36,Good,197451,1.519,19.6,3395.9,2.8,0.1322,,,,,,,,,61.36,Good,65.82,62.5,40.0,69.61,66.67,1.519,4.0,987256.38,baseline_pue; load_growth_rate; energy_pct_opex
DFW-3,USA,Plano,TX,DataBank,72600,13.5,33.09,-96.82,https://www.datacentermap.com/usa/texas/dallas/databank-dfw3-plano/specs/,Active,57.73,Good,136214,0.816,42.6,7471.3,3.3,0.0912,,,,,,,,,57.73,Good,45.4,62.5,40.0,83.69,66.67,0.816,4.0,1838895.7,baseline_pue; load_growth_rate; energy_pct_opex
PDX-11,USA,Hillsboro,OR,Digital Realty,300800,54,45.5229,-122.9898,https://www.datacentermap.com/usa/oregon/portland/6675-ne-62nd/specs/,Active,64.89,Good,169671,0.164,24.1,23523.4,3.4,0.1136,,,,,,,,,64.89,Good,56.56,62.5,40.0,96.73,66.67,0.164,4.0,9162217.15,baseline_pue; load_growth_rate; energy_pct_opex
Richmond 1,USA,Richmond,VA,QTS Data Centers,2300000,238,37.49,-77.24527,,Active,62.65,Good,145325,0.043,28.9,104370.4,2.9,0.0973,,,,,,,,,62.65,Good,48.44,62.5,40.0,99.13,66.67,0.043,4.0,34587429.49,baseline_pue; load_growth_rate; energy_pct_opex
NVA06,USA,Leesburg,VA,STACK Infrastructure,"620,000",72,39.08,-77.56,,Active,62.15,Good,145325,0.143,28.9,31574.2,2.9,0.0973,,,,,,,,,62.15,Good,48.44,62.5,40.0,97.13,66.67,0.143,4.0,10463424.05,baseline_pue; load_growth_rate; energy_pct_opex
IAD-01,USA,Ashburn,VA,Aligned Data Centers,"370,000",60,39.01376,-77.4688,,Active,62.01,Good,145325,0.172,28.9,26311.9,2.9,0.0973,,,,,,,,,62.01,Good,48.44,62.5,40.0,96.56,66.67,0.172,4.0,8719520.04,baseline_pue; load_growth_rate; energy_pct_opex
IAD5,USA,Culpeper,VA,DataBank,"613,152",72,38.45016,-77.98,,Construction,62.15,Good,145325,0.143,28.9,31574.2,2.9,0.0973,,,,,,,,,62.15,Good,48.44,62.5,40.0,97.13,66.67,0.143,4.0,10463424.05,baseline_pue; load_growth_rate; energy_pct_opex
AUS2-AUS3,USA,Austin,TX,CyrusOne,242000,33,30.207,-97.701,,Active,60.14,Good,136214,0.334,42.6,18263.2,3.3,0.0912,,,,,,,,,60.14,Good,45.4,62.5,40.0,93.33,66.67,0.334,4.0,4495078.37,baseline_pue; load_growth_rate; energy_pct_opex
Downtown Dallas,USA,Dallas,TX,Flexential,"80,447",6.66,32.8011,-96.819,,Active,53.54,Good,136214,1.653,42.6,3685.9,3.3,0.0912,,,,,,,,,53.54,Good,45.4,62.5,40.0,66.93,66.67,1.653,4.0,907188.54,baseline_pue; load_growth_rate; energy_pct_opex
Red Oak,USA,Red Oak,TX,Compass Datacenters,"980,849",360,32.537,-96.8049,,Active,61.66,Good,136214,0.031,42.6,199235.2,3.3,0.0912,,,,,,,,,61.66,Good,45.4,62.5,40.0,99.39,66.67,0.031,4.0,49037218.56,baseline_pue; load_growth_rate; energy_pct_opex
CA1,USA,Santa Clara,CA,Vantage Data Centers,335000,77,37.37,-121.97,,Active,80.66,Excellent,373395,0.052,43.4,27700.0,2.5,0.25,,,,,,,,,80.66,Excellent,100,62.5,40.0,98.96,66.67,0.052,4.0,28751415.0,baseline_pue; load_growth_rate; energy_pct_opex
T5 LA,USA,Los Angeles,CA,T5 Data Centers,"112,292",12,34.05,-118.24,,Active,79.24,Excellent,373395,0.335,43.4,4316.9,2.5,0.25,,,,,,,,,79.24,Excellent,100,62.5,40.0,93.3,66.67,0.335,4.0,4480740.0,baseline_pue; load_growth_rate; energy_pct_opex
Piscataway 1,USA,Piscataway,NJ,QTS Data Centers,"360,000",65,40.557,-74.484,,Active,73.31,Good,238973,0.097,31.8,31631.1,2.9,0.16,,,,,,,,,73.31,Good,79.66,62.5,40.0,98.07,66.67,0.097,4.0,15533232.0,baseline_pue; load_growth_rate; energy_pct_opex
SDC Seattle,USA,Seattle,WA,Sabey,"1,200,000",54,47.493,-122.294,,Active,64.24,Good,164294,0.169,25.9,23523.4,2.5,0.11,,,,,,,,,64.24,Good,54.76,62.5,40.0,96.62,66.67,0.169,4.0,8871865.2,baseline_pue; load_growth_rate; energy_pct_opex
MIN5 ,USA,Minneapolis,MN,Cologix,10000,1.5,44.97,-93.25,,Active,43.95,Moderate,197451,5.065,19.6,1018.8,2.8,0.1322,,,,,,,,,43.95,Moderate,65.82,62.5,40.0,0,66.67,5.065,4.0,296176.91,baseline_pue; load_growth_rate; energy_pct_opex
EWR20,USA,Clifton,NJ,Digital Realty,"183,000",2.2,40.83009928,-74.12669901,,Active,59.53,Good,238973,2.853,31.8,1070.6,2.9,0.16,,,,,,,,,59.53,Good,79.66,62.5,40.0,42.94,66.67,2.853,4.0,525740.16,baseline_pue; load_growth_rate; energy_pct_opex
